date,ticker,firm_low,firm_high,prev_close,atm_iv,call_iv,put_iv,iv_skew,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,iv_1s_hit,iv_2s_hit,rv_1s_hit,rv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-09,AAPL,273.000000,287.000000,278.000000,,,,,0.010765,2025-12-10,278.263000,279.231203,275.927344,275.007350,280.992650,272.014699,283.985301,,,,,275.007350,280.992650,272.014699,283.985301,True,False,False,True,True,True,True
2025-12-09,AMZN,224.000000,237.000000,227.000000,,,,,0.016973,2025-12-10,231.779999,232.419998,228.460007,223.147125,230.852875,219.294250,234.705750,,,,,223.147125,230.852875,219.294250,234.705750,True,False,False,False,True,False,True
2025-12-09,META,620.000000,681.000000,667.000000,,,,,0.018281,2025-12-10,648.443481,652.812124,641.730959,654.806459,679.193541,642.612918,691.387082,,,,,654.806459,679.193541,642.612918,691.387082,True,False,False,False,True,False,True
2025-12-09,GOOGL,311.000000,328.000000,314.000000,,,,,0.022376,2025-12-10,319.793732,320.892308,314.270922,306.973980,321.026020,299.947961,328.052039,,,,,306.973980,321.026020,299.947961,328.052039,True,False,False,True,True,True,True
2025-12-09,NFLX,93.000000,105.000000,97.000000,,,,,0.024670,2025-12-10,92.709999,96.970001,92.349998,94.607053,99.392947,92.214105,101.785895,,,,,94.607053,99.392947,92.214105,101.785895,False,False,False,False,True,False,True
2025-12-09,TSLA,420.000000,463.000000,440.000000,,,,,0.027578,2025-12-10,451.450012,456.880005,443.609985,427.865566,452.134434,415.731133,464.268867,,,,,427.865566,452.134434,415.731133,464.268867,True,False,False,True,True,True,True
2025-12-09,NVDA,179.000000,194.000000,186.000000,,,,,0.020678,2025-12-10,183.770050,185.469955,182.030139,182.153805,189.846195,178.307611,193.692389,,,,,182.153805,189.846195,178.307611,193.692389,True,False,False,True,True,True,True
2025-12-09,ORCL,187.000000,229.000000,221.000000,,,,,0.029802,2025-12-10,221.647919,223.943823,216.251091,214.413788,227.586212,207.827576,234.172424,,,,,214.413788,227.586212,207.827576,234.172424,True,False,False,True,True,True,True
2025-12-10,MSFT,474.000000,497.000000,492.000000,,,,,0.014647,2025-12-11,481.326508,483.875155,473.750231,484.793565,499.206435,477.587130,506.412870,,,,,484.793565,499.206435,477.587130,506.412870,True,False,False,False,True,False,True
2025-12-10,AAPL,274.000000,288.000000,277.000000,,,,,0.009740,2025-12-11,277.514404,279.071509,273.302229,274.301911,279.698089,271.603822,282.396178,,,,,274.301911,279.698089,271.603822,282.396178,True,False,False,True,True,True,True
2025-12-10,AMZN,224.000000,236.000000,228.000000,,,,,0.017562,2025-12-11,230.279999,232.110001,228.690002,223.995946,232.004054,219.991892,236.008108,,,,,223.995946,232.004054,219.991892,236.008108,True,False,False,True,True,True,True
2025-12-10,META,623.000000,679.000000,657.000000,,,,,0.018375,2025-12-11,651.016846,653.580186,639.137707,644.927572,669.072428,632.855144,681.144856,,,,,644.927572,669.072428,632.855144,681.144856,True,False,False,True,True,True,True
2025-12-10,GOOGL,310.000000,326.000000,317.000000,,,,,0.022405,2025-12-11,312.023834,320.702540,308.198827,309.897697,324.102303,302.795393,331.204607,,,,,309.897697,324.102303,302.795393,331.204607,True,False,False,True,True,True,True
2025-12-10,NFLX,93.000000,103.000000,97.000000,,,,,0.025254,2025-12-11,94.089996,94.820000,92.760002,94.550385,99.449615,92.100770,101.899230,,,,,94.550385,99.449615,92.100770,101.899230,True,False,False,False,True,False,True
2025-12-10,TSLA,425.000000,462.000000,445.000000,,,,,0.027565,2025-12-11,446.890015,449.269989,440.329987,432.733774,457.266226,420.467548,469.532452,,,,,432.733774,457.266226,420.467548,469.532452,True,False,False,True,True,True,True
2025-12-10,NVDA,180.000000,190.000000,185.000000,,,,,0.019766,2025-12-11,180.920197,181.310190,176.610432,181.343253,188.656747,177.686506,192.313494,,,,,181.343253,188.656747,177.686506,192.313494,True,False,False,False,True,False,True
2025-12-10,ORCL,188.000000,231.000000,222.000000,,,,,0.029650,2025-12-11,197.635483,200.756304,185.092552,215.417746,228.582254,208.835492,235.164508,,,,,215.417746,228.582254,208.835492,235.164508,True,False,False,False,False,False,False
2025-12-11,MSFT,470.000000,493.000000,479.000000,,,,,0.014846,2025-12-12,476.408417,480.311051,474.228124,471.888806,486.111194,464.777611,493.222389,,,,,471.888806,486.111194,464.777611,493.222389,True,False,False,True,True,True,True
2025-12-11,AAPL,274.000000,288.000000,279.000000,,,,,0.009630,2025-12-12,277.763947,278.702206,276.306663,276.313093,281.686907,273.626186,284.373814,,,,,276.313093,281.686907,273.626186,284.373814,True,False,False,True,True,True,True
2025-12-11,AMZN,225.000000,238.000000,232.000000,,,,,0.017163,2025-12-12,226.190002,230.080002,225.119995,228.018081,235.981919,224.036162,239.963838,,,,,228.018081,235.981919,224.036162,239.963838,True,False,False,False,True,False,True
2025-12-11,META,628.000000,677.000000,650.000000,,,,,0.016887,2025-12-12,642.558838,709.155655,636.953421,639.023711,660.976289,628.047422,671.952578,,,,,639.023711,660.976289,628.047422,671.952578,True,False,False,True,True,True,True
2025-12-11,GOOGL,311.000000,326.000000,320.000000,,,,,0.022896,2025-12-12,308.887939,314.460672,305.162777,312.673381,327.326619,305.346762,334.653238,,,,,312.673381,327.326619,305.346762,334.653238,False,False,False,False,True,False,True
2025-12-11,NFLX,90.000000,99.000000,93.000000,,,,,0.025051,2025-12-12,95.190002,96.919998,94.650002,90.670291,95.329709,88.340583,97.659417,,,,,90.670291,95.329709,88.340583,97.659417,True,False,False,True,True,True,True
2025-12-11,TSLA,429.000000,465.000000,451.000000,,,,,0.027219,2025-12-12,458.959991,463.010010,441.670013,438.724188,463.275812,426.448375,475.551625,,,,,438.724188,463.275812,426.448375,475.551625,True,False,False,True,True,True,True
2025-12-11,NVDA,177.000000,189.000000,184.000000,,,,,0.019932,2025-12-12,175.010529,182.810109,174.610541,180.332442,187.667558,176.664884,191.335116,,,,,180.332442,187.667558,176.664884,191.335116,False,False,False,False,False,False,False
2025-12-11,ORCL,188.000000,224.000000,223.000000,,,,,0.037244,2025-12-12,188.809723,196.641599,184.844087,214.694654,231.305346,206.389308,239.610692,,,,,214.694654,231.305346,206.389308,239.610692,True,False,False,False,False,False,False
2025-12-12,MSFT,471.000000,492.000000,483.000000,,,,,0.014656,2025-12-15,472.714874,478.588710,470.425053,475.920980,490.079020,468.841959,497.158041,,,,,475.920980,490.079020,468.841959,497.158041,True,False,False,False,True,False,True
