date,ticker,firm_low,firm_high,prev_close,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,atm_iv,iv_status,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,rv_1s_hit,rv_2s_hit,iv_1s_hit,iv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-04,NFLX,99.000000,109.000000,104.000000,0.023653,2025-12-05,100.239998,104.790001,97.739998,101.540130,106.459870,99.080260,108.919740,0.232901,contaminated_live,102.474179,105.525821,100.948357,107.051643,102.193964,105.806036,100.387928,107.612072,True,False,True,False,False,False,False
2025-12-04,NVDA,175.000000,185.000000,180.000000,0.025713,2025-12-05,182.400131,184.650009,180.900212,175.371671,184.628329,170.743343,189.256657,0.350432,contaminated_live,176.026477,183.973523,172.052954,187.947046,175.830035,184.169965,171.660071,188.339929,True,True,True,True,True,True,True
2025-12-04,ORCL,190.000000,211.000000,208.000000,0.029663,2025-12-05,216.251083,218.159355,212.315263,201.830075,214.169925,195.660150,220.339850,0.415748,contaminated_live,202.552549,213.447451,197.105098,218.894902,202.335807,213.664193,196.671614,219.328386,False,False,True,False,True,False,True
2025-12-04,TSLA,406.000000,461.000000,447.000000,0.029957,2025-12-05,455.000000,458.869995,451.660004,433.609375,460.390625,420.218750,473.781250,0.320035,contaminated_live,437.988349,456.011651,428.976698,465.023302,436.674657,457.325343,426.349314,467.650686,True,True,True,True,True,True,True
2025-12-05,AAPL,275.000000,290.000000,281.000000,0.010788,2025-12-08,277.374664,279.151362,275.637870,277.968503,284.031497,274.937006,287.062994,0.142085,contaminated_live,278.484902,283.515098,275.969805,286.030195,278.329983,283.670017,275.659965,286.340035,True,False,True,False,True,False,True
2025-12-05,AMZN,220.000000,240.000000,229.000000,0.017498,2025-12-08,226.889999,230.830002,226.270004,224.992934,233.007066,220.985867,237.014133,0.211678,contaminated_live,225.946411,232.053589,222.892823,235.107177,225.660368,232.339632,222.320736,235.679264,True,True,True,True,True,True,True
2025-12-05,GOOGL,307.000000,333.000000,318.000000,0.023610,2025-12-08,313.312195,320.023461,310.815445,310.492171,325.507829,302.984341,333.015659,0.171833,contaminated_live,314.557824,321.442176,311.115647,324.884353,313.338128,322.661872,308.676255,327.323745,True,True,True,False,True,False,True
2025-12-05,META,599.000000,679.000000,662.000000,0.017805,2025-12-08,665.070251,674.954578,663.344759,650.213246,673.786754,638.426492,685.573508,0.370389,contaminated_live,646.554007,677.445993,631.108014,692.891986,647.651779,676.348221,633.303557,690.696443,True,True,True,True,True,True,True
2025-12-05,MSFT,467.000000,495.000000,481.000000,0.013690,2025-12-08,488.843048,490.117372,482.232502,474.415175,487.584825,467.830349,494.169651,0.197835,contaminated_live,475.005564,486.994436,469.011129,492.988871,474.828447,487.171553,468.656895,493.343105,True,False,True,False,True,False,True
2025-12-05,NFLX,98.000000,109.000000,103.000000,0.024351,2025-12-08,96.790001,99.889999,95.300003,100.491800,105.508200,97.983600,108.016400,0.232901,contaminated_live,101.488850,104.511150,99.977700,106.022300,101.189735,104.810265,99.379470,106.620530,False,False,False,False,False,False,False
